QD_Ref,BorrowerSSNLast4,AppDate,FundingDt,Contract_Maturity,Amt_Funded,OutstandingPrincipal,NoteRate,APR_Effective,ContractTermMo,RemainingPayments,SchedPayment,ActualLastPmt,VehicleMake,VehicleModel,VehicleYear,VehicleVIN,Mileage_Orig,NewOrUsed,DealerName,DealerState,CreditScoreAtOrig,CreditScoreCurrent,CoBorrowerFlag,CoBorrowerScore,BorrowerDTI_Back,BorrowerAnnualInc,EmployerName,EmpYears,IncomeVerified,BorrState,BorrZip,BorrCity,LoanStat,DaysPastDue,DelinqBucket,NumLate30,NumLate60,NumLate90,CumulLossAmt,RecoveryAmt,ChargeoffDate,PaymentMethod,AutoPayEnrolled,ModificationFlag,HardshipPlan,LTV_Orig,BookValue_Orig,CurrentBookValue,Depreciation_Pct,WholesaleValue,RetailValue,OrigFee,ServicingFee_Bps,PoolID,InvestorCode,BatchID,MonthsOnBooks,VintageQtr,FirstPmtDefault,Ext_bureau_inqs_6mo,Ext_revolv_util,Ext_open_accts,Ext_total_accts,Ext_derog_marks,Ext_collections,Ext_bankruptcies,Channel,PricingTier,RiskBand,DecisionEngine_Score,FraudScore,IdentityConfidence
QD-0000011,9647,06/17/2022,2024-02-07,,33439.33,31552.05,12.56,13.68,,45,563.16,581.66,Subaru,Outback,2025,IEIXWC4RTWUZKAMUG,79807,New,Local Motors,MI,602,545,1,577,55.3,113641,,,,MI,60615,City 24,CURRENT,0,Current,0,0,0,0.0,0.0,,Check,1,0,0,80.3,41643,35979.55,13.6,26261.61,42745.33,224.3,25,QD-2024-A,INV_AUTO_1,BATCH-362,15,2022Q2,0,4,3.8,30,45,2,5,0,Dealer Direct,Subprime,A+,803.5,65.0,89.6
QD-0000012,4279,07/10/2024,2024-01-30,,74112.5,23803.13,6.43,6.82,72,33,1034.86,1092.65,Nissan,Altima,2023,Q6QDY4LMCT64Z7W2S,64382,Certified Pre-Owned,Penske,FL,846,850,0,,18.7,83864,Google,12,,FL,30111,Fort Lauderdale,90DPD,176,120+,8,4,1,0.0,0.0,,Check,1,0,0,122.5,60500,46645.5,22.9,41947.04,49309.68,193.49,25,QD-2024-C,INV_AUTO_3,BATCH-820,39,2024Q3,0,8,25.0,,4,2,3,0,Refinance,Prime,D,382.6,36.7,65.7
QD-0000013,4524,05/23/2023,2022-10-16,,77542.97,68651.01,19.12,20.62,84,58,937.84,,Kia,Telluride,2020,KV4YKADEJNOBBUNKN,31552,Used,Carvana,MA,694,699,0,,18.9,119134,Self-Employed,7,Self-Reported,,68929,City 8,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,1,0,0,120.3,64458,60654.98,5.9,53925.1,66786.52,249.13,100,QD-2025-A,INV_AUTO_3,BATCH-609,26,2023Q2,0,5,81.3,30,48,5,1,0,Dealer Direct,Subprime,C,818.5,41.8,98.1
QD-0000014,3252,06/11/2022,2023-12-11,,28222.0,14195.09,9.06,9.17,60,40,473.92,457.38,Subaru,Crosstrek,2025,7O75RH8LX6DUT076G,101025,New,Sonic Auto,SC,849,850,1,752,27.3,172333,Google,30,Not Verified,SC,47700,City 19,REPO,287,Repo,4,2,4,6508.74,6275.6,05/20/2024,Online,0,0,,137.0,20600,16171.0,21.5,13639.78,16496.18,334.92,50,QD-2024-B,INV_AUTO_1,BATCH-202,20,2022Q2,0,8,13.7,20,38,3,1,0,Dealer Indirect,Deep Subprime,A,421.2,53.9,96.7
QD-0000015,8734,07/01/2024,2022-04-24,,11407.28,7343.22,15.0,15.18,60,23,192.5,,Ram,1500,2019,119XP9N56NYXTXMGT,9046,Certified Pre-Owned,Sonic Auto,TN,790,796,1,609,20.7,245998,Home Depot,22,,TN,76895,City 32,30DPD,47,30-59,2,0,0,0.0,0.0,,Online,1,0,0,74.3,15353,14186.17,7.6,12750.88,16837.8,289.16,25,QD-2025-A,INV_AUTO_3,BATCH-817,37,2024Q3,0,9,72.3,13,21,0,5,0,Online App,Super Prime,C,574.1,5.8,73.1
QD-0000016,7841,10/21/2023,2023-08-03,,58563.33,50487.02,3.77,4.58,36,0,1631.87,1401.54,Hyundai,Tucson,2022,,75909,Used,,MD,617,572,1,674,61.7,216373,,,Not Verified,MD,82362,City 26,CHARGED_OFF,175,Charged Off,10,3,3,29379.04,9346.88,04/18/2024,ACH,0,0,,112.3,52149,46516.91,10.8,34987.92,55213.32,156.46,25,,INV_AUTO_2,BATCH-859,36,2023Q4,0,15,46.6,26,41,5,1,0,Refinance,Super Prime,E,515.6,,75.6
QD-0000017,2344,04/21/2023,2022-06-05,,81195.21,54204.5,17.86,18.6,84,59,981.0,896.63,Ford,Mustang,2021,2FOMD7Q1DDPUSDDTV,9634,Certified Pre-Owned,Penske,FL,603,631,,,52.0,58687,Freelance,23,Employer Confirmed,FL,67290,Miami,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,1,0,129.5,62699,40190.06,35.9,30507.31,42171.03,470.57,,QD-2024-B,,BATCH-187,25,2023Q2,0,8,78.4,15,30,3,2,0,Broker,Super Prime,D,538.0,77.4,51.5
QD-0000018,,11/11/2024,2024-11-28,,51036.36,21083.64,17.58,18.82,84,44,616.48,574.22,GMC,Yukon,2019,ZLK3E4XYF9IGFU8IO,63298,New,Group 1,MD,704,730,1,719,14.3,191091,US Army,3,Verified,MD,39098,City 7,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,1,0,0,87.4,58394,48175.05,17.5,38109.67,50168.22,,25,QD-2024-A,INV_AUTO_2,BATCH-456,40,2024Q4,0,4,34.5,1,,1,2,0,Broker,Super Prime,A,567.5,39.1,88.6
QD-0000019,7743,03/06/2023,2023-12-20,,37365.67,29910.18,12.29,14.6,60,18,629.14,690.64,Honda,HR-V,2018,5E5IZ31YRUJOQW5DS,17771,Used,Lithia,NY,798,742,1,684,,100042,Google,27,Verified,NY,41056,New York,CURRENT,0,Current,0,0,0,0.0,0.0,,,1,0,0,85.3,43805,32590.92,25.6,28681.02,37904.42,489.5,75,,INV_AUTO_3,BATCH-978,42,2023Q1,0,1,57.0,18,26,8,1,0,Refinance,Near Prime,D,383.5,20.7,60.3
QD-0000020,1197,06/22/2022,2023-05-24,,57130.88,20507.01,21.9,24.37,48,41,1211.95,1309.12,BMW,X3,2024,E4UNY181ACJBC2SWS,69243,New,Group 1,MA,629,644,1,729,19.4,54284,US Army,10,Not Verified,MA,94491,City 16,CURRENT,0,Current,0,0,0,,0.0,,ACH,1,0,0,118.1,48375,43779.38,9.5,35019.85,48979.76,147.77,25,QD-2024-B,,BATCH-495,7,2022Q2,0,9,20.5,20,36,3,5,0,Broker,Super Prime,E,664.6,77.9,84.5
QD-0000021,2703,08/21/2023,2023-09-15,,64416.49,36886.74,3.91,4.5,36,6,1795.18,1965.6,Honda,HR-V,2020,P89FKBI4O6Q0USWOV,40306,Used,Lithia,VA,777,756,0,,57.9,224775,Amazon,17,Self-Reported,VA,36302,City 1,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,106.1,60713,39220.6,35.4,30405.96,45010.21,11.96,75,QD-2024-A,INV_AUTO_3,BATCH-101,30,2023Q3,0,6,73.2,18,25,2,0,0,Online App,Deep Subprime,B,655.0,49.3,88.6
QD-0000022,1916,01/06/2024,,,54990.3,35152.35,17.2,19.13,48,12,1162.05,1260.06,GMC,Terrain,2018,U9N79GIL0MVZMUF84,96607,Certified Pre-Owned,Group 1,NC,748,723,1,620,37.4,44995,US Army,6,,NC,60134,City 16,CURRENT,0,Current,0,0,0,0.0,0.0,,,1,0,0,113.2,48578,33373.09,31.3,25140.13,38821.48,178.72,50,QD-2024-B,INV_AUTO_1,BATCH-353,36,2024Q1,0,10,59.7,1,9,0,,0,Refinance,Subprime,D,601.4,38.8,59.0
QD-0000023,5346,12/02/2023,2022-12-15,,18748.16,12993.93,20.32,22.01,60,16,317.76,282.56,Kia,Sportage,2024,DOTRBAD3WRDHW9RE2,70795,New,Larry H. Miller,AZ,713,657,0,,35.9,231504,,,Employer Confirmed,,19725,City 17,30DPD,37,30-59,2,0,0,0.0,0.0,,Online,1,0,0,128.0,14647,11512.54,21.4,9334.63,13643.68,78.55,25,QD-2024-C,INV_AUTO_2,BATCH-294,44,,0,15,70.5,14,34,2,4,0,Online App,Prime,D,865.1,97.8,66.9
QD-0000024,7126,11/23/2023,2023-09-13,,8583.55,6183.64,11.8,13.87,84,,103.19,98.5,GMC,Yukon,2025,FLSE45BG34IQ7ZJ3S,67698,New,Hendrick Auto,NC,768,758,0,,48.8,32166,Starbucks,1,Self-Reported,NC,12651,City 18,CURRENT,0,Current,0,0,0,0.0,0.0,,Check,0,0,0,82.1,10455,6116.17,41.5,4779.38,6708.78,302.49,25,QD-2024-B,,BATCH-316,44,2023Q4,0,9,97.4,15,25,4,5,,Dealer Indirect,Deep Subprime,E,710.9,97.2,61.4
QD-0000025,8496,11/10/2023,2024-02-01,,49481.48,39383.63,9.53,,84,48,593.74,628.6,BMW,X3,2025,GCL9LCQH1UF22EPPP,117026,New,Hendrick Auto,NJ,633,660,0,,52.4,69990,Amazon,7,Employer Confirmed,NJ,,City 15,CHARGED_OFF,166,,7,2,4,18776.79,1699.83,10/13/2024,Online,1,0,0,95.1,52031,28773.14,44.7,22113.14,34454.06,264.92,100,QD-2024-A,INV_AUTO_2,,36,2023Q4,0,2,47.2,7,23,1,5,0,Broker,Subprime,C,810.7,47.1,93.3
QD-0000026,5395,04/19/2023,2024-07-24,,25544.2,11736.63,13.52,15.73,84,83,307.52,,Hyundai,Sonata,2025,3GO8JN42X2EZC7FOV,81501,New,Hendrick Auto,MI,540,553,1,626,47.6,50948,Amazon,24,,MI,43540,,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,1,0,0,118.2,21611,14933.2,30.9,11434.83,17604.83,47.5,25,,INV_AUTO_2,,1,2023Q2,0,9,36.0,22,32,6,5,0,Dealer Indirect,Deep Subprime,A+,359.9,17.5,52.0
QD-0000027,3903,09/05/2022,2024-03-15,,28822.08,24324.12,16.9,18.66,36,0,811.89,691.81,Mazda,CX-50,2021,3DXVL5PVYIOMK2EV5,119299,New,Local Motors,AL,578,539,1,621,,34000,US Army,3,Employer Confirmed,AL,34581,City 40,30DPD,46,30-59,3,,0,0.0,0.0,,,1,0,0,94.9,30371,21745.64,28.4,19242.16,25142.66,2.17,25,,,,36,2022Q3,0,3,77.2,15,29,8,1,0,Refinance,Near Prime,E,502.8,75.7,52.3
QD-0000028,4994,01/04/2024,2022-05-30,,28657.19,19977.23,5.77,8.17,72,55,399.93,,Ford,,2018,L68NTK63N2QB6GS8G,80439,Used,Penske,LA,581,526,0,,36.7,62581,,19,Verified,LA,74297,City 50,30DPD,30,30-59,3,0,0,0.0,0.0,,,0,0,0,109.0,26291,17930.46,31.8,14149.53,21174.07,146.79,100,,INV_AUTO_1,,17,2024Q1,0,12,9.2,8,14,5,2,0,Broker,Near Prime,A,612.4,78.6,58.0
QD-0000029,6877,05/23/2022,2023-02-01,,54520.17,18853.44,9.32,11.28,36,29,1526.21,1443.93,Nissan,Rogue,2025,DXCK36H0W064W3U1H,58373,New,Penske,NY,810,812,0,,22.5,174199,Google,4,Not Verified,NY,91201,Buffalo,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,1,0,0,108.5,50249,34068.82,32.2,26107.37,37339.11,392.83,100,QD-2024-C,INV_AUTO_3,BATCH-237,7,2022Q2,0,11,80.8,14,19,0,2,0,Refinance,Deep Subprime,B,669.8,30.6,79.2
QD-0000030,7877,08/23/2024,2024-09-13,,8553.33,3349.59,15.98,18.06,72,39,120.38,118.17,Jeep,Compass,,G6V5T1DX6TA7YPP5Z,,Used,CarMax,OH,602,565,1,559,15.0,89701,Bank of America,30,Verified,OH,89498,City 14,60DPD,61,60-89,5,1,0,0.0,0.0,,ACH,1,0,0,79.0,10827,10209.86,5.7,8214.26,12066.71,34.42,100,QD-2025-A,INV_AUTO_2,BATCH-211,33,2024Q3,0,8,16.8,22,32,7,4,1,Online App,Deep Subprime,D,385.6,58.3,88.4
QD-0000031,2185,03/20/2024,2024-04-10,,22357.15,14468.93,20.22,21.53,36,21,631.5,569.61,Volkswagen,Tiguan,2021,ESJT2JPNRIM1Y65RJ,73220,Certified Pre-Owned,Lithia,OR,744,714,0,,47.7,116303,AT&T,2,Employer Confirmed,OR,56285,City 50,30DPD,49,30-59,2,0,0,0.0,0.0,,ACH,1,0,0,83.6,26743,25352.36,5.2,18634.16,27919.23,113.15,50,QD-2025-A,,BATCH-688,15,2024Q1,0,,72.6,18,36,5,2,0,Online App,Super Prime,A+,742.2,6.9,54.5
QD-0000032,6638,05/13/2024,2024-10-20,,21767.9,0.0,24.53,24.68,60,53,370.21,0,Mazda,CX-50,2025,E58HUXG2MYR06NKWF,33779,New,CarMax,VA,725,695,1,745,50.2,232786,Home Depot,4,Not Verified,VA,33148,City 31,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Online,1,,0,110.0,19789,15949.93,19.4,12952.46,18922.5,238.27,25,QD-2025-A,INV_AUTO_3,BATCH-366,7,2024Q2,0,1,39.8,23,28,0,1,0,Broker,Super Prime,,489.4,48.7,62.5
QD-0000033,1813,06/12/2022,2024-05-14,,58250.19,26633.53,9.37,11.8,72,71,,657.69,Nissan,Pathfinder,2022,9KEPADAHP2RNZBC1F,19942,New,Local Motors,MD,771,763,1,752,41.1,71432,Starbucks,5,Self-Reported,MD,44469,City 25,CURRENT,0,Current,0,,0,0.0,0.0,,,1,0,0,100.1,58192,38988.64,33.0,31128.5,41488.93,55.18,100,,,BATCH-378,1,2022Q2,0,8,41.3,28,30,2,1,0,Broker,Super Prime,E,710.8,28.5,87.1
QD-0000034,9026,05/10/2022,2024-03-04,,34631.67,0.0,9.43,10.79,84,60,415.52,0,Mazda,CX-30,2020,ZJNVC7HR6C2CU7ONZ,86235,New,Local Motors,NC,826,847,1,644,36.1,225402,,,,NC,52034,City 24,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,,0,,,80.9,,38955.28,9.0,,45470.94,436.75,50,QD-2024-A,,BATCH-296,24,2022Q2,0,10,11.0,17,19,0,1,0,Broker,Deep Subprime,D,392.5,28.3,70.5
QD-0000035,,09/17/2023,2024-12-09,,70760.54,58765.42,11.33,11.63,36,14,1984.13,1886.01,Hyundai,Sonata,2022,1EEURXHW0IC1L7DYP,52322,New,AutoNation,,815,770,0,,34.1,249496,,,Verified,PA,17094,City 41,30DPD,,30-59,4,0,0,0.0,0.0,,ACH,1,,0,126.6,55893,51253.88,8.3,,51759.36,215.97,100,QD-2024-B,INV_AUTO_2,BATCH-444,22,2023Q3,0,1,67.4,13,27,,0,0,Dealer Indirect,Super Prime,D,389.7,50.2,61.0
QD-0000036,3384,11/06/2023,2024-07-08,,85532.99,80862.82,23.76,25.6,60,45,1453.78,1496.86,Chevrolet,Traverse,2024,5OOP767J2DG1WJUII,110037,New,Group 1,NC,551,578,0,,44.5,185977,US Army,7,,NC,50944,City 10,REPO,128,Repo,4,,2,27808.52,19320.88,12/13/2024,ACH,1,0,,139.3,61402,45253.27,26.3,38188.7,46919.81,328.12,50,QD-2024-C,INV_AUTO_1,BATCH-670,15,2023Q4,0,4,30.9,23,39,2,3,0,Online App,Near Prime,,383.1,54.1,90.0
QD-0000037,9084,11/18/2023,2022-11-04,,18484.31,6617.54,16.91,17.58,48,,390.52,381.4,GMC,Yukon,2019,ROCVITWU3BFXB4Y4K,115697,New,CarMax,FL,685,690,0,,32.4,229373,,,,FL,32398,Miami,CURRENT,0,Current,0,0,0,0.0,0.0,,Check,0,0,0,119.4,15481,9412.45,39.2,7611.85,9423.28,311.28,75,QD-2024-A,,BATCH-609,46,2023Q4,0,14,28.9,6,9,2,1,0,Online App,Near Prime,E,330.8,30.8,86.5
QD-0000038,5958,02/08/2022,2023-03-03,,31999.99,0.0,13.08,13.7,72,50,449.29,0,Chevrolet,Malibu,2018,KE226PARSG70S1F53,59232,Used,Lithia,NJ,765,757,0,,,235428,-50000,9,,NJ,82768,City 47,PAID_OFF,0,Paid Off,0,0,0,0.0,0.0,,Online,1,0,0,80.9,39555,31011.12,21.6,24790.63,32485.03,58.42,75,QD-2024-C,INV_AUTO_1,BATCH-378,22,2022Q1,0,12,62.7,27,32,6,1,1,Dealer Indirect,Subprime,A+,881.8,28.0,51.6
QD-0000039,8294,04/26/2024,2023-05-04,,14566.51,6061.78,13.09,13.61,36,13,409.04,444.53,Volkswagen,Atlas,2025,CD31NRXD356WAFFTO,,New,Lithia,MA,535,,0,,18.8,48983,Self-Employed,17,Verified,MA,62535,City 20,30DPD,49,30-59,5,0,0,,0.0,,Online,1,0,0,94.6,15398,10978.77,28.7,8701.57,12197.61,86.54,25,,,BATCH-217,23,2024Q2,,13,78.4,14,32,5,4,,,Super Prime,A,884.3,38.4,67.0
QD-0000040,3476,09/15/2023,2023-06-18,,36561.52,29408.13,13.34,15.02,72,29,513.44,467.71,Mazda,,2019,G2IGSB98V341ONX0G,96857,Certified Pre-Owned,AutoNation,KY,663,661,1,719,53.3,144911,US Army,11,Employer Confirmed,KY,14630,City 19,REPO,109,Repo,7,5,3,17836.61,22602.68,09/30/2024,ACH,,0,0,76.2,47981,31331.59,34.7,,37034.76,126.03,75,QD-2024-C,INV_AUTO_3,BATCH-114,43,2023Q3,0,0,28.7,3,7,8,0,0,Refinance,Super Prime,A,643.7,65.6,64.6
QD-0000041,9039,10/22/2022,2024-06-02,,31223.78,29656.72,4.23,5.48,60,43,522.23,481.06,Kia,,,03CINY2ET9MKB9XN4,92747,Used,Local Motors,NC,557,559,0,,,40192,,,Self-Reported,NC,24212,City 12,CURRENT,0,Current,0,0,0,0.0,0.0,,ACH,0,0,0,,33466,27375.19,18.2,21305.18,27395.47,466.45,100,QD-2024-C,INV_AUTO_2,BATCH-816,17,2022Q4,0,8,77.7,1,16,2,5,0,Broker,Prime,C,729.2,10.3,53.6
QD-0000042,2567,08/05/2023,,,32307.52,11888.46,3.8,5.39,60,19,540.16,571.93,Nissan,Rogue,2020,9SQWHBEF46RF7BNHJ,69494,Used,Sonic Auto,KY,606,566,0,,44.5,225859,Uber,2,Verified,KY,21683,,CURRENT,0,Current,0,0,0,0.0,0.0,,Online,0,0,0,134.8,23967,22720.72,5.2,16975.28,23254.69,306.02,25,,INV_AUTO_3,BATCH-528,41,2023Q3,0,5,61.1,2,21,2,5,0,Online App,Near Prime,A,683.9,52.3,70.6
QD-0000043,9433,08/07/2024,2022-10-11,,17673.59,13085.44,9.43,11.8,84,78,212.05,212.56,Honda,Pilot,2018,5DNWNGUCZH9IER7U8,7184,Used,Larry H. Miller,CO,562,541,0,,12.8,197383,,,,CO,,City 48,CURRENT,0,Current,0,0,,0.0,,,Mobile App,1,0,0,79.3,22287,15066.01,32.4,12415.76,16077.53,212.95,75,,INV_AUTO_2,BATCH-906,6,2024Q3,0,2,38.5,23,33,8,0,0,Online App,Subprime,E,578.6,63.3,93.0
QD-0000044,4610,27-Jul-2024,2023-10-18,,16956.8,12761.28,18.52,19.69,72,49,239.15,197.96,Honda,Civic,2022,BXVH7KATQYDSHLV76,80939,Used,CarMax,NJ,584,592,0,,40.6,64623,UPS,29,Verified,NJ,29055,City 26,60DPD,64,60-89,3,2,0,0.0,0.0,,ACH,1,,,84.4,20091,13641.79,32.1,9868.13,13709.44,169.34,25,QD-2025-A,INV_AUTO_1,BATCH-242,23,2024Q3,0,9,97.0,25,43,2,4,0,Dealer Direct,Super Prime,D,498.8,70.5,73.7
QD-0000045,9612,10/23/2023,2023-10-10,,31478.99,17063.8,23.05,,48,29,668.41,,Hyundai,Sonata,2018,Z2P6EEAMYFP9S8GK0,108975,Used,,AL,702,651,0,,27.5,,AT&T,24,Verified,AL,81265,City 39,CURRENT,0,Current,0,0,0,0.0,0.0,,Check,1,,0,99.4,31669,27710.38,12.5,24368.82,31110.05,51.21,50,,INV_AUTO_2,BATCH-951,19,2023Q4,0,4,51.8,12,27,6,2,0,Dealer Indirect,Subprime,A+,620.7,35.2,57.2
QD-0000046,7626,10/21/2022,2024-03-19,,26483.6,22396.04,22.67,25.14,60,16,449.73,428.78,Ram,,2024,FQERI7B03RAGVLKW1,62367,New,Larry H. Miller,GA,728,730,0,,12.7,198726,,,Self-Reported,GA,25626,City 34,30DPD,41,30-59,2,0,,0.0,0.0,,Online,,0,0,130.0,20372,12915.85,36.6,10704.22,13949.73,362.6,75,,INV_AUTO_3,BATCH-874,44,,0,6,33.9,20,32,1,1,0,Broker,Prime,E,855.2,97.8,53.2
QD-0000047,9457,07/14/2022,2023-11-21,,26358.07,16814.53,12.53,14.7,60,55,443.89,431.93,Tesla,Model Y,2020,H80Q7TW1PUWSNFFYK,,Certified Pre-Owned,Hendrick Auto,NJ,777,723,0,,23.3,91508,,,Self-Reported,NJ,85784,City 15,30DPD,56,30-59,5,0,0,0.0,0.0,,ACH,1,0,0,95.4,27629,17820.71,35.5,13118.18,17887.01,207.16,75,,,BATCH-787,5,2022Q3,0,9,50.5,10,23,8,2,0,Dealer Direct,Super Prime,D,585.2,21.0,89.8
